Table,Col_Name,Col_Type,Description
Responses,id,INTEGER,Unique ID for Responses instances
Responses,SurveyAgreement,TEXT,Agreement to participate in the survey
Responses,ResponderDescription,TEXT,"Answers to ""Which of the following options best describes you today?"""
Responses,Age,TEXT,Resopnder's age
Responses,RemoteWork,TEXT,"Current work situation in terms of remote, in-person"
Responses,EdLevel,TEXT,Highest level of formal education completed
Responses,YearsCode,TEXT,"Total years responder has been coding, including education"
Responses,YearsCodePro,TEXT,"Total years responder has been coding, not including education"
Responses,DevType,TEXT,Best description of current job
Responses,OrgSize,TEXT,Number of people employed at currently working organization
Responses,PurchaseInfluence,TEXT,Personal influence over new technology purchases at the current organization
Responses,TechList,TEXT,"""When thinking about new technology purchases at your organization, are you more likely to be given a short list of products/services to evaluate or be told to investigate on your own?"""
Responses,Country,TEXT,Country of Residence
Responses,Currency,TEXT,Currency being used day-to-day
Responses,CompTotal,INTEGER,"Current total annual compensation (salary, bonuses, and perks, before taxes and deductions) in the specified currency"
Responses,SOVisitFreq,TEXT,Frequency of visiting Stack Overflow
Responses,SOAccount,TEXT,"""Do you have a Stack Overflow account?"""
Responses,SOPartFreq,TEXT,Frequency of participation in Q&A on Stack Overflow
Responses,SOComm,TEXT,"""Do you consider yourself a member of the Stack Overflow community?"""
Responses,AISelect,TEXT,"""Do you currently use AI tools in your development process?"""
Responses,AISent,TEXT,"""How favorable is your stance on using AI tools as part of your development workflow?"""
Responses,AIAccuracy,TEXT,"""For the AI tools you use as part of your development workflow, what are the MOST important benefits you are hoping to achieve?"""
Responses,ProfessionalDeveloperParticipation,TEXT,"""Would you like to participate in the Professional Developer Series?"""
Responses,IndividualContributorOrPeopleManager,TEXT,individual contributor or people manager
Responses,WorkExp,INTEGER,Years of workign experience
Responses,InteractionOutsideTeam,TEXT,"Agreement level on ""I have interactions with people outside of my immediate team""."
Responses,KnowledgeSilos,TEXT,"Agreement level on ""Knowledge silos prevent me from getting ideas across the organization"""
Responses,UpToDateInformation,TEXT,"Agreement level on ""I can find up-to-date information within my organization to help me do my job."""
Responses,QuicklyFindAnswers,TEXT,"Aggreement level on ""I am able to quickly find answers to my questions with existing tools and resources."""
Responses,KnowSystemResource,TEXT,"Aggreement level on ""I know which system or resource to use to find information and answers to questions I have."""
Responses,ReansweringQuestions,TEXT,"Aggreement level on ""I often find myself answering questions that I’ve already answered before."""
Responses,WaitingOnAnswers,TEXT,"Aggreement level on ""Waiting on answers to questions often causes interruptions and disrupts my workflow."""
Responses,CanUnderstandCompany,TEXT,"Aggreement level on ""I feel like I have the tools and/or resources to quickly understand and work on any area of my company's code/system/platform."""
Responses,NeedHelpOutsideTeamFreq,TEXT,Frequency of needing help from people outside immediate team
Responses,InteractionOutsideTeamFreq,TEXT,Frequency of interaction with people outside immediate team
